Clearness,GHI Actual,GHI Theoretical
0.56,436.85,548.3514058
0.53,448.65,518.6810039
0.59,440.25,577.0635763
0.59,436.48,576.7860179
0.55,446.62,537.3275811
0.49,449.8,478.442279
0.52,446.65,507.4338368
0.54,449.85,526.6909163
0.52,453.62,506.8590226
0.48,449.13,467.6032187
0.37,445.19,360.2091838
0.45,448.72,437.842254
0.32,449.61,311.1512773
0.5,442.48,485.9290173
0.16,449.59,155.3973365
0.38,448.43,368.8609913
0.39,446.45,378.290942
0.49,451,475.0207779
0.48,448.04,465.017313
0.47,447.31,455.0773703
0.49,442.94,474.0987552
0.48,444.2,464.1565137
0.52,437.44,502.4715022
0.29,442.52,280.0633072
0.37,442.62,357.0663907
0.35,444.78,337.5709477
0.31,444.77,298.7738924
0.13,444.44,125.2571567
0.28,446.4,269.7144955
0.47,441.27,452.6075248
0.51,441.43,490.9544861
0.43,444.04,413.8621889
0.25,447.66,240.5324693
0.28,443.4,269.3197523
0.2,442.35,192.320246
0.16,441.39,153.801386
0.33,443.97,317.1244733
0.47,439.01,451.5411718
0.51,438.73,489.7943576
0.48,437.87,460.8170411
0.5,438.17,479.887829
0.49,435.93,470.1536147
0.48,436.27,460.3916868
0.39,439.2,373.9659994
0.45,438.09,431.3108524
0.32,439.88,306.5978205
0.35,442.52,335.2486792
0.37,442.8,354.2755159
0.25,443.38,239.2871587
0.36,444.1,344.4772784
0.48,439.45,459.0992621
0.35,437.71,334.6355229
0.51,441.03,487.4740855
0.55,435.16,525.4721776
0.49,440.7,467.9725973
0.48,441.11,458.2571943
0.52,438.85,496.2583028
0.34,444.91,324.5581882
0.49,441.92,467.8202362
0.43,442.43,410.6389372
0.47,445.52,448.9090592
0.37,445.05,353.4580415
0.36,445.21,343.932868
0.33,444.65,315.3262015
0.17,444.37,162.4415613
0.09,439.2,86.00663849
0.41,441.85,391.8090643
0.35,442.46,334.4766283
0.38,437.91,363.1183664
0.55,435.23,525.5730219
0.51,432.79,487.3108883
0.62,435.48,592.377401
0.59,435.91,563.6229622
0.53,439.6,506.269307
0.52,437.08,496.5967547
0.53,436.56,506.0687362
0.34,440.84,324.593094
0.33,443.22,314.9712571
0.34,445.27,324.4338575
0.35,446.19,333.8944488
0.34,451.74,324.2189617
0.46,440.85,438.5389696
0.48,443.52,457.4473268
0.41,442.71,390.6037848
0.41,440.95,390.4344423
0.52,438.29,495.0132224
0.51,440.4,485.2393608
0.54,440.26,513.5575468
0.45,439.18,427.9006526
0.3,439.48,285.2718145
0.4,438.82,380.2675244
0.53,440.13,503.6757834
0.55,437.95,522.5891107
0.49,438.45,465.4099532
0.42,439.04,398.7388332
0.41,442.68,389.0996297
0.43,441.54,407.8462839
0.38,442.12,360.2393213
0.41,443.32,388.4114414
0.4,440.39,378.67131
0.46,441.57,435.1582928
0.45,441.91,425.3858267
0.52,435.78,491.0976253
0.36,434.73,339.6932941
0.36,435.89,339.3635437
0.41,438.17,386.1151552
0.45,436.2,423.354972
0.52,432.06,488.6130373
0.37,437.34,347.2690471
0.23,436.16,215.6138228
0.48,435.43,449.3530215
0.41,436.76,383.3188805
0.45,435.3,420.112328
0.43,434.48,400.8136556
0.57,427.93,530.5692984
0.54,430.18,501.8274779
0.47,435.46,436.0126336
