Clearness,GHI,Vw,Iw,Ve,Ie,Clearness_F,GHI_F
0.46,428.38,19.41,0.09,13.39,0.03,0.70,418.12
0.59,426.65,19.16,0.06,13.22,0.03,0.72,418.06
0.55,427.17,19.29,0.07,13.48,0.04,0.71,416.04
0.54,425.34,18.86,0.07,13.40,0.03,0.70,413.26
0.45,426.47,19.43,0.07,13.60,0.03,0.68,415.63
0.45,428.91,19.18,0.09,13.47,0.03,0.62,414.58
0.15,429.9,19.44,0.07,13.38,0.03,0.64,415.13
0.38,433.78,19.67,0.06,13.74,0.03,0.59,413.24
0.55,430.16,19.27,0.06,13.32,0.04,0.61,411.87
0.55,427.51,19.45,0.06,13.53,0.03,0.60,413.97
0.45,433.92,19.38,0.07,13.69,0.03,0.65,415.74
0.34,432.01,19.54,0.09,13.43,0.03,0.59,413.38
0.57,405.84,18.49,0.06,12.71,0.02,0.68,414.11
0.59,408.73,18.26,0.06,13.04,0.04,0.60,414.67
0.58,408.01,18.09,0.08,12.88,0.04,0.64,415.41
0.46,432.8,19.34,0.07,13.67,0.04,0.70,418.54
0.49,426.27,19.05,0.09,13.40,0.04,0.67,411.42
0.12,427.8,19.43,0.08,13.50,0.04,0.62,408.46
0.17,430.92,19.37,0.07,13.59,0.03,0.64,408.02
0.66,393.48,17.81,0.08,12.47,0.02,0.63,401.21
0.59,399.87,18.21,0.09,12.83,0.02,0.61,405.36
0.43,412.41,18.61,0.07,13.10,0.04,0.62,408.32
0.43,421.65,18.91,0.08,13.07,0.04,0.57,408.85
0.48,412.21,18.74,0.06,12.84,0.04,0.56,410.87
0.54,383.68,17.48,0.06,12.08,0.04,0.58,408.28
0.5,384.75,17.25,0.08,12.26,0.02,0.57,406.18
0.54,380.83,17.31,0.08,11.97,0.02,0.53,401.26
0.49,392.95,17.93,0.08,12.44,0.03,0.48,393.26
0.48,385.18,17.52,0.05,12.24,0.03,0.55,399.37
0.59,375.35,16.69,0.08,11.76,0.03,0.55,399.79
0.64,371.48,16.86,0.09,11.93,0.03,0.56,405.92
0.68,370.87,16.62,0.05,11.55,0.02,0.61,403.35
0.67,380,17.23,0.07,12.09,0.04,0.63,402.05
0.68,379.62,16.98,0.08,11.96,0.03,0.55,398.66
0.63,376.5,16.97,0.07,11.86,0.02,0.55,398.18
0.65,380,16.84,0.08,12.04,0.02,0.53,399.00
0.62,377,17.21,0.06,11.83,0.04,0.54,400.06
0.62,374.62,17.02,0.06,11.77,0.02,0.61,402.20
0.64,369.02,16.38,0.07,11.78,0.02,0.59,403.70
0.64,360.99,16.02,0.07,11.51,0.02,0.60,404.57
0.66,364.72,16.39,0.06,11.52,0.04,0.60,407.85
0.62,369.51,16.52,0.09,11.50,0.02,0.58,394.65
0.45,387.6,17.59,0.07,12.32,0.02,0.58,383.13
0.16,399.05,18.04,0.07,12.60,0.03,0.61,379.97
0.24,401.84,18.02,0.06,12.81,0.04,0.57,375.02
0.39,405.38,18.48,0.07,12.66,0.02,0.55,376.40
0.3,423.85,18.95,0.06,13.56,0.04,0.59,387.78
0.55,398.73,18.16,0.07,12.68,0.03,0.57,389.27
0.52,380.91,16.88,0.09,12.26,0.02,0.58,395.13
0.59,349.13,15.75,0.05,11.16,0.02,0.52,406.03
0.59,326.95,14.75,0.08,10.63,0.02,0.50,408.38
0.56,334.89,14.80,0.07,10.66,0.03,0.58,397.53
0.57,339.11,15.41,0.07,10.60,0.03,0.59,379.11
0.56,337,14.88,0.08,10.73,0.02,0.57,391.89
0.55,335.85,15.29,0.05,10.52,0.03,0.53,389.68
0.52,343.96,15.19,0.06,10.73,0.03,0.50,383.98
0.47,338.31,15.27,0.06,10.58,0.02,0.51,384.96
0.49,336.96,14.96,0.08,10.62,0.02,0.59,387.56
0.53,333.8,14.73,0.06,10.50,0.03,0.56,375.09
0.6,330.87,14.64,0.07,10.76,0.02,0.56,373.64
0.66,333.16,14.85,0.07,10.58,0.03,0.59,379.50
0.62,331.55,14.98,0.06,10.47,0.02,0.56,374.82
0.58,332.51,15.09,0.08,10.72,0.02,0.52,371.75
