Clearness,GHI,Vw,Iw,Ve,Ie,Clearness_F,GHI_F
0.61,448.92,20.22,0.07,14.25,0.04,0.72,398.14
0.57,444.01,19.84,0.07,13.95,0.04,0.71,396.79
0.56,440.87,19.63,0.06,14.02,0.03,0.72,394.48
0.57,438.03,19.71,0.06,13.91,0.04,0.70,391.08
0.48,447.16,20.28,0.07,14.15,0.04,0.68,397.59
0.43,439.41,19.69,0.10,13.84,0.03,0.68,400.02
0.45,443.72,19.76,0.08,13.75,0.04,0.72,410.39
0.37,440.36,20.00,0.09,13.75,0.03,0.74,417.58
0.62,429.02,19.05,0.07,13.34,0.03,0.73,414.87
0.61,432.48,19.22,0.09,13.65,0.04,0.75,417.30
0.59,435.61,19.71,0.08,13.72,0.04,0.75,415.16
0.59,433.2,19.69,0.09,13.63,0.03,0.71,417.60
0.58,432.8,19.26,0.06,13.66,0.03,0.62,415.03
0.48,439.33,19.82,0.09,13.86,0.05,0.67,410.43
0.51,435.18,19.78,0.06,13.65,0.03,0.72,403.98
0.28,445.78,20.21,0.10,14.21,0.03,0.74,405.11
0.47,435.09,19.46,0.09,13.60,0.03,0.69,404.70
0.43,444.14,19.70,0.09,13.82,0.03,0.72,406.03
0.14,444.67,20.01,0.10,14.05,0.04,0.68,407.04
0.34,441.91,19.84,0.09,13.78,0.04,0.73,405.96
0.42,435.67,19.42,0.06,13.64,0.03,0.73,409.14
0.46,440.03,19.62,0.09,13.70,0.05,0.72,410.65
0.58,440.22,19.64,0.06,13.76,0.03,0.64,413.36
0.54,441.23,19.68,0.08,13.85,0.04,0.63,411.83
0.52,440.44,19.56,0.08,13.92,0.04,0.68,411.68
0.53,444.61,19.72,0.08,14.18,0.04,0.79,411.72
0.55,443.5,20.20,0.07,13.79,0.04,0.72,412.45
0.52,450.66,20.32,0.08,14.09,0.04,0.75,409.34
0.41,458.2,20.41,0.08,14.44,0.04,0.71,413.53
0.6,454.03,20.16,0.10,14.12,0.04,0.69,416.12
0.46,454.34,20.34,0.07,14.46,0.04,0.65,415.51
0.45,452.47,20.14,0.07,14.12,0.03,0.65,414.98
0.54,452.48,20.22,0.07,14.39,0.03,0.65,418.36
0.46,449.77,20.04,0.08,13.97,0.04,0.66,420.60
0.39,445.46,19.94,0.06,14.05,0.04,0.62,422.95
0.41,443.33,20.07,0.08,13.76,0.04,0.77,425.39
0.53,442.69,19.86,0.08,13.91,0.05,0.73,426.27
0.53,444.37,20.21,0.09,13.99,0.05,0.71,428.55
0.57,444.09,20.12,0.08,14.15,0.04,0.68,426.27
0.45,447.91,20.33,0.08,14.20,0.03,0.68,423.51
0.24,447.79,19.89,0.07,14.14,0.03,0.66,421.53
0.35,448.86,20.28,0.07,14.13,0.04,0.65,421.95
0.34,451.92,20.25,0.09,14.22,0.04,0.68,420.59
0.47,446.3,20.31,0.08,14.14,0.05,0.71,420.40
0.45,447.7,20.07,0.06,14.05,0.03,0.67,420.36
0.4,447.06,20.17,0.10,14.07,0.04,0.61,423.36
0.38,450.74,20.16,0.09,14.29,0.03,0.63,424.94
0.48,450.56,20.32,0.08,14.15,0.03,0.65,423.45
0.49,449.44,20.44,0.06,13.96,0.05,0.67,423.13
0.27,446.99,19.84,0.09,14.25,0.03,0.75,420.84
0.33,446.93,19.94,0.08,13.98,0.03,0.75,419.78
0.34,447.55,20.13,0.10,14.17,0.03,0.69,421.04
0.35,444.64,19.75,0.07,14.05,0.05,0.72,421.29
0.33,446.4,20.26,0.06,13.91,0.04,0.74,423.88
0.22,447.09,20.03,0.08,13.95,0.04,0.79,423.61
0.37,448.05,20.13,0.10,13.90,0.04,0.74,422.21
0.34,444.62,19.78,0.08,13.83,0.03,0.77,421.42
0.42,442.24,20.08,0.09,13.76,0.03,0.76,422.90
0.45,442.33,20.10,0.07,14.05,0.04,0.77,422.08
0.47,445.35,19.75,0.06,13.79,0.05,0.72,422.42
0.56,442.28,19.69,0.10,13.77,0.04,0.72,422.88
0.47,445.79,20.23,0.09,13.82,0.05,0.75,425.09
0.58,441.03,19.73,0.09,14.02,0.03,0.75,425.01
0.55,442.18,19.77,0.07,13.71,0.04,0.77,422.78
0.58,434.8,19.67,0.06,13.68,0.04,0.84,421.94
0.52,434.87,19.36,0.08,13.83,0.02,0.84,421.60
0.52,437.95,19.49,0.09,13.89,0.03,0.76,423.03
0.36,444.43,19.97,0.06,13.97,0.04,0.71,422.54
0.37,445.16,19.93,0.10,13.98,0.03,0.74,425.50
0.19,445.9,19.88,0.09,13.85,0.04,0.72,423.07
0.38,441.86,19.74,0.07,13.89,0.04,0.71,422.03
0.48,439.43,19.90,0.06,13.66,0.04,0.74,422.41
0.43,438.65,19.72,0.09,13.81,0.04,0.69,423.02
0.46,434.55,19.37,0.10,13.86,0.04,0.67,421.11
0.45,437.58,19.72,0.09,13.72,0.05,0.71,423.88
0.45,441.66,19.96,0.09,13.94,0.03,0.69,425.77
0.45,444.98,19.78,0.09,13.94,0.03,0.69,429.04
0.45,448.35,20.31,0.09,14.00,0.04,0.73,427.36
0.47,453.61,20.22,0.06,14.35,0.04,0.73,426.28
0.53,446.77,20.31,0.08,13.83,0.03,0.74,422.89
0.35,447.19,20.25,0.09,13.84,0.03,0.71,423.75
0.38,442.38,19.63,0.06,13.81,0.03,0.68,424.66
0.16,443.46,20.11,0.09,13.78,0.04,0.74,426.18
0.49,443.34,19.70,0.06,13.92,0.03,0.71,425.63
0.51,448.46,20.37,0.08,13.95,0.04,0.75,424.77
0.46,447.98,20.20,0.09,13.95,0.03,0.73,425.25
0.31,446.65,20.06,0.07,14.10,0.04,0.75,424.39
0.3,442.84,19.90,0.09,14.12,0.04,0.75,425.38
0.17,441.2,19.63,0.08,14.01,0.04,0.76,424.38
0.33,441.33,19.61,0.08,13.85,0.04,0.81,423.27
0.35,444.62,20.25,0.09,13.99,0.03,0.77,423.02
0.24,444.94,20.09,0.09,13.99,0.03,0.70,422.86
0.38,442.59,20.11,0.09,13.95,0.03,0.70,423.56
0.45,443.63,20.03,0.06,13.93,0.03,0.70,422.88
0.48,439.65,19.54,0.08,13.65,0.04,0.69,422.18
0.51,435.95,19.34,0.09,13.75,0.03,0.67,425.09
0.45,440.44,19.62,0.09,13.89,0.04,0.67,425.45
0.44,439.69,19.62,0.08,13.80,0.05,0.70,424.44
0.39,439.01,19.86,0.09,13.69,0.04,0.77,425.20
0.41,438.36,19.95,0.09,13.65,0.04,0.64,423.22
0.55,434.67,19.50,0.06,13.49,0.05,0.74,422.46
0.53,438.58,19.52,0.09,13.89,0.04,0.71,423.27
0.51,438.19,19.65,0.08,13.62,0.03,0.79,424.27
0.55,437.46,19.82,0.10,13.55,0.04,0.73,422.07
0.58,435.59,19.48,0.07,13.90,0.04,0.71,422.87
0.46,433.38,19.60,0.08,13.75,0.04,0.71,420.70
0.51,439.41,20.01,0.08,13.76,0.04,0.71,422.31
0.51,443.98,19.99,0.09,13.85,0.05,0.62,419.29
0.39,439.79,19.75,0.08,13.68,0.03,0.65,422.03
0.35,437.8,19.68,0.08,13.54,0.03,0.60,421.61
0.45,436.58,19.70,0.08,13.82,0.04,0.66,422.14
0.44,440.39,19.83,0.07,13.86,0.04,0.70,422.71
0.44,437.66,19.67,0.06,13.81,0.04,0.71,422.67
0.33,440.54,19.62,0.08,13.84,0.03,0.66,423.67
0.45,440.7,20.06,0.07,13.92,0.03,0.68,422.25
0.45,440.17,19.77,0.07,13.84,0.03,0.66,419.69
0.38,443.2,20.16,0.09,13.77,0.02,0.71,420.94
0.36,440.73,19.94,0.10,13.69,0.03,0.73,421.93
0.27,437.85,19.84,0.10,13.97,0.03,0.76,421.17
0.44,438.16,19.56,0.08,13.91,0.04,0.81,420.20
0.52,440.07,19.73,0.10,13.66,0.04,0.79,417.57
0.49,433.05,19.28,0.07,13.82,0.03,0.72,417.66
0.52,430.33,19.45,0.10,13.74,0.02,0.72,417.15
0.56,428.49,19.21,0.06,13.32,0.04,0.78,416.85
0.59,427.23,19.38,0.08,13.34,0.04,0.77,417.39
0.6,425.05,19.35,0.06,13.21,0.02,0.76,418.24
0.5,429.32,19.31,0.06,13.62,0.04,0.71,417.56
0.54,431.81,19.44,0.10,13.67,0.03,0.60,418.80
0.41,429.14,19.28,0.09,13.37,0.03,0.73,417.68
0.33,428.83,19.18,0.10,13.60,0.04,0.74,419.77
0.16,425.54,18.88,0.09,13.50,0.02,0.76,418.54
0.25,427.62,19.00,0.09,13.63,0.04,0.74,420.71
0.32,422.34,18.86,0.09,13.48,0.03,0.66,419.57
0.18,420.23,18.75,0.06,13.31,0.03,0.68,420.67
0.27,419.46,18.76,0.08,13.14,0.02,0.70,421.24
0.3,422.05,19.08,0.07,13.12,0.03,0.72,421.32
0.46,427.52,19.20,0.06,13.48,0.04,0.67,419.66
0.55,427.23,19.40,0.09,13.42,0.04,0.71,416.62
0.27,431.34,19.12,0.08,13.46,0.03,0.72,417.74
0.32,428.77,19.22,0.10,13.70,0.03,0.69,420.13
0.54,421.45,19.03,0.09,13.15,0.03,0.68,419.00
0.46,428.05,19.35,0.06,13.60,0.04,0.68,417.89
0.32,421.73,18.76,0.06,13.18,0.04,0.69,418.28
0.44,425.08,19.23,0.09,13.32,0.02,0.63,418.23
0.37,421.09,19.16,0.06,13.44,0.04,0.63,416.21
0.43,423.73,19.18,0.06,13.48,0.04,0.70,413.43
0.55,417.79,18.80,0.05,13.00,0.03,0.65,415.79
0.57,407.98,18.19,0.08,12.82,0.04,0.67,414.74
0.55,406.8,18.03,0.09,12.79,0.03,0.66,415.30
0.57,409.26,18.13,0.06,12.84,0.03,0.69,413.40
0.58,410.84,18.55,0.07,12.94,0.03,0.67,412.03
0.56,416.77,18.55,0.07,13.11,0.04,0.68,414.14
0.55,424.6,18.86,0.06,13.47,0.03,0.69,415.91
0.57,416.29,18.70,0.08,13.02,0.04,0.72,413.54
0.59,411.14,18.42,0.07,12.77,0.04,0.71,414.28
0.56,412.58,18.47,0.09,13.17,0.02,0.69,414.83
0.45,422.55,19.09,0.08,13.40,0.04,0.67,415.57
0.52,417.36,18.86,0.07,13.01,0.03,0.62,418.71
0.27,424.27,19.11,0.07,13.32,0.04,0.64,411.58
0.12,414.84,18.51,0.06,13.14,0.04,0.59,408.62
0.14,419.56,18.60,0.09,13.16,0.02,0.61,408.18
0.3,424.72,18.83,0.08,13.57,0.04,0.60,401.37
0.49,408.64,18.46,0.05,13.07,0.02,0.65,405.52
0.58,388.84,17.31,0.09,12.45,0.03,0.59,408.49
0.59,380.37,16.96,0.07,12.06,0.04,0.68,409.02
0.59,389.81,17.49,0.05,12.46,0.03,0.60,411.04
0.46,399.01,17.93,0.05,12.73,0.03,0.64,408.44
0.55,392.78,17.82,0.05,12.55,0.03,0.69,406.35
0.62,386.14,17.62,0.08,12.19,0.04,0.67,401.43
0.59,403.38,18.20,0.07,12.52,0.03,0.62,393.43
0.62,397.08,17.78,0.06,12.67,0.04,0.64,399.54
0.54,384.81,17.34,0.06,12.04,0.03,0.63,399.96
0.48,377.54,16.88,0.07,11.99,0.03,0.61,406.08
0.52,371.3,16.58,0.06,11.64,0.03,0.61,403.52
0.24,396.99,17.82,0.06,12.48,0.04,0.57,402.21
0.07,412.63,18.77,0.07,12.94,0.04,0.55,398.82
0.46,407.51,18.38,0.07,12.80,0.03,0.58,398.35
0.66,391.03,17.66,0.06,12.54,0.02,0.56,399.16
0.59,379.96,16.81,0.05,12.17,0.04,0.53,400.23
0.55,364.97,16.52,0.05,11.59,0.03,0.48,402.37
0.61,370.99,16.79,0.07,11.67,0.03,0.55,403.86
0.62,389.43,17.37,0.06,12.34,0.03,0.55,404.74
0.57,386.89,17.35,0.09,12.34,0.04,0.56,408.01
0.55,371.34,16.84,0.06,11.86,0.02,0.61,394.81
0.54,371.22,16.61,0.07,11.88,0.03,0.63,383.30
0.56,361.52,16.08,0.07,11.33,0.03,0.55,380.14
0.56,359.44,15.89,0.06,11.46,0.02,0.54,375.19
0.55,356.64,16.23,0.05,11.19,0.02,0.53,376.57
0.55,356.12,16.10,0.07,11.46,0.03,0.54,387.94
0.48,367.44,16.63,0.07,11.85,0.03,0.61,389.44
0.47,364.23,16.14,0.07,11.50,0.04,0.59,395.30
0.41,376.91,16.95,0.05,11.73,0.03,0.59,406.19
0.47,377.13,16.79,0.07,11.93,0.03,0.60,408.54
0.54,371.53,16.55,0.06,11.62,0.03,0.58,397.70
0.62,366.53,16.59,0.05,11.54,0.04,0.58,379.28
0.58,373.07,17.02,0.07,11.70,0.03,0.61,392.05
0.55,373.55,16.58,0.06,11.66,0.02,0.56,389.85
0.52,361.17,16.24,0.05,11.51,0.02,0.54,384.15
0.55,352.7,15.89,0.08,11.22,0.02,0.58,385.13
0.52,339.17,15.34,0.06,10.60,0.03,0.57,387.72
0.52,331.48,14.72,0.06,10.64,0.02,0.58,375.25
0.64,334.66,14.89,0.05,10.61,0.02,0.52,373.81
0.62,350.73,15.77,0.08,11.07,0.03,0.50,379.67
0.55,366.11,16.62,0.07,11.57,0.02,0.58,374.98
0.53,371.08,16.91,0.08,11.64,0.04,0.59,371.92
0.53,360.59,16.36,0.09,11.33,0.03,0.57,370.96
0.51,348.51,15.57,0.05,11.09,0.03,0.53,365.64
0.38,364.37,16.11,0.05,11.38,0.03,0.50,365.09
0.36,366.12,16.31,0.05,11.43,0.04,0.50,366.24
0.4,363.37,16.21,0.05,11.40,0.03,0.58,373.87
0.44,366.34,16.44,0.07,11.63,0.02,0.56,376.88
0.49,369.45,16.44,0.07,11.67,0.02,0.56,366.93
0.51,383.42,17.45,0.07,12.11,0.03,0.59,357.25
0.4,367.93,16.62,0.07,11.48,0.04,0.56,347.19
0.55,314.16,14.03,0.05,9.86,0.01,0.51,343.22
0.54,308.97,13.73,0.05,10.04,0.02,0.60,348.38
0.47,316.01,14.34,0.08,10.20,0.02,0.60,350.82
0.23,349.48,15.74,0.08,11.11,0.04,0.59,364.18
0.26,361.81,16.04,0.05,11.30,0.04,0.55,358.03
0.33,361.13,16.09,0.06,11.54,0.03,0.53,347.47
0.41,344.8,15.41,0.07,10.87,0.03,0.57,329.84
0.38,350.38,15.87,0.07,11.21,0.02,0.56,329.05
0.23,380.43,16.93,0.08,12.00,0.03,0.49,344.90
0.35,353.7,15.75,0.07,11.13,0.04,0.50,347.70
0.52,301.46,13.37,0.06,9.78,0.01,0.52,340.01
0.63,298.34,13.29,0.08,9.52,0.01,0.50,343.00
0.55,302.25,13.34,0.08,9.59,0.02,0.56,338.35
0.62,309.84,13.68,0.05,10.04,0.03,0.55,333.71
0.53,339.18,15.45,0.05,10.80,0.03,0.60,335.57
0.48,347.48,15.82,0.06,11.17,0.03,0.63,339.95
0.3,369.02,16.60,0.05,11.68,0.04,0.62,326.74
0.44,370.77,16.54,0.07,11.89,0.03,0.63,314.79
0.27,362.39,16.54,0.09,11.35,0.03,0.61,319.13
0.57,310.02,14.18,0.05,9.85,0.03,0.58,317.55
0.34,339.26,15.01,0.05,10.96,0.03,0.56,325.90
0.46,352.56,15.85,0.05,11.41,0.02,0.61,331.23
0.24,375.95,16.89,0.07,12.10,0.02,0.59,317.51
0.45,342.54,15.64,0.06,10.87,0.03,0.57,317.71
0.48,316.99,14.31,0.05,10.17,0.02,0.58,311.96
0.55,309.27,14.12,0.07,9.96,0.03,0.61,313.50
0.59,313.55,13.95,0.06,10.21,0.02,0.61,304.70
0.57,324.27,14.84,0.04,10.36,0.03,0.63,313.24
0.54,336.3,15.16,0.05,10.54,0.04,0.63,311.55
0.54,343.74,15.46,0.06,10.97,0.03,0.62,315.15
0.54,339.95,15.45,0.05,10.72,0.02,0.56,300.26
0.57,338.78,15.04,0.05,10.91,0.03,0.54,301.84
0.32,369.77,16.74,0.06,11.50,0.02,0.51,308.62
0.48,335.8,14.97,0.07,10.78,0.04,0.50,313.29
0.59,312.22,13.89,0.07,9.92,0.02,0.53,313.30
0.58,329.97,14.88,0.06,10.57,0.03,0.61,320.79
0.33,362.05,16.47,0.06,11.53,0.03,0.60,336.79
0.64,308.18,13.84,0.05,9.73,0.02,0.66,331.46
0.6,305.23,13.69,0.06,9.60,0.03,0.68,325.25
0.55,314.66,14.25,0.08,10.28,0.02,0.65,325.71
0.48,322.57,14.73,0.07,10.33,0.03,0.66,306.56
0.46,350.37,15.83,0.07,11.19,0.04,0.62,304.78
0.23,391.12,17.47,0.08,12.21,0.04,0.55,317.06
0.22,390.41,17.61,0.08,12.47,0.03,0.51,324.60
0.49,336.48,15.19,0.05,10.54,0.04,0.61,303.53
0.55,328.08,14.81,0.07,10.41,0.02,0.58,309.22
0.59,320.25,14.42,0.04,10.06,0.02,0.66,316.58
0.6,310.09,14.05,0.07,9.84,0.03,0.57,314.64
0.61,327.99,14.77,0.05,10.50,0.02,0.62,324.86
0.52,350.27,15.76,0.06,11.16,0.02,0.56,317.45
0.55,339.22,15.32,0.06,10.91,0.03,0.60,305.95
0.26,364.26,16.63,0.05,11.70,0.02,0.59,286.19
0.19,379.87,17.00,0.07,11.94,0.02,0.63,299.02
0.55,350.59,15.80,0.07,11.05,0.03,0.66,315.69
0.58,312.64,13.97,0.06,10.05,0.03,0.63,315.64
0.62,317.51,14.15,0.04,10.32,0.02,0.60,312.43
0.63,325.76,14.76,0.07,10.22,0.03,0.59,307.65
0.58,335.73,15.12,0.08,10.76,0.03,0.58,296.59
0.55,350.32,15.61,0.06,11.31,0.02,0.57,305.84
0.61,342.95,15.37,0.06,10.91,0.03,0.54,308.57
0.55,349.87,15.58,0.08,11.32,0.02,0.64,300.35
0.52,352.64,15.91,0.06,11.41,0.03,0.62,294.19
0.54,348.4,15.73,0.05,10.97,0.03,0.64,301.90
0.53,350.77,15.69,0.05,11.03,0.02,0.59,291.82
0.43,366.42,16.66,0.05,11.81,0.03,0.64,301.96
0.52,360.55,16.31,0.05,11.36,0.03,0.60,309.98
0.59,359.06,16.19,0.06,11.27,0.03,0.57,307.05
0.39,384.74,17.23,0.05,11.99,0.03,0.55,315.84
0.25,394.96,17.72,0.06,12.29,0.04,0.55,320.08
0.23,388.97,17.58,0.07,12.29,0.02,0.52,315.62
0.43,372.37,16.90,0.07,11.65,0.03,0.53,307.70
0.47,357.89,15.98,0.07,11.16,0.03,0.59,304.03
0.6,347.53,15.44,0.06,11.05,0.04,0.63,314.56
0.65,350.17,15.89,0.07,11.35,0.03,0.63,324.79
0.6,355.63,15.73,0.08,11.32,0.03,0.64,325.04
0.49,370.86,16.51,0.06,11.93,0.04,0.63,330.97
0.45,386.91,17.62,0.05,12.44,0.02,0.61,328.15
0.38,394.98,18.02,0.08,12.32,0.03,0.65,323.40
0.39,397.99,17.93,0.06,12.66,0.02,0.56,331.51
0.47,393.18,17.48,0.08,12.41,0.04,0.56,335.35
0.39,402.02,18.15,0.09,12.81,0.03,0.67,334.95
0.58,382.16,17.43,0.08,11.94,0.04,0.67,327.86
0.65,349.95,15.50,0.08,11.18,0.03,0.68,316.89
0.65,359.18,16.06,0.08,11.34,0.03,0.67,328.33
0.5,398.62,17.83,0.08,12.64,0.02,0.65,337.06
0.47,416.82,18.95,0.05,12.93,0.02,0.62,340.83
0.53,401.34,17.95,0.05,12.57,0.02,0.60,332.00
0.48,395,17.88,0.06,12.59,0.04,0.57,326.40
0.39,395.75,17.62,0.06,12.35,0.03,0.62,323.30
0.58,388.69,17.62,0.05,12.35,0.03,0.69,314.79
0.55,386.8,17.48,0.06,12.04,0.03,0.71,318.54
0.57,378.98,17.01,0.06,12.18,0.04,0.69,330.81
0.56,375.47,16.97,0.06,11.76,0.04,0.70,326.08
0.58,381.8,17.09,0.09,12.17,0.03,0.70,319.23
0.6,383.49,17.01,0.08,12.14,0.03,0.60,326.59
0.54,388.71,17.36,0.07,12.36,0.03,0.58,338.04
0.48,387.08,17.15,0.07,12.11,0.04,0.63,339.85
0.59,388.57,17.54,0.06,12.19,0.03,0.71,332.76
0.57,387.68,17.52,0.08,12.24,0.03,0.70,331.91
0.61,394.58,17.87,0.09,12.46,0.04,0.75,334.80
0.66,390.91,17.80,0.08,12.42,0.02,0.76,334.01
0.65,402.79,17.86,0.08,12.67,0.04,0.73,330.48
0.7,385.3,17.36,0.06,12.31,0.04,0.68,341.97
0.7,377.32,16.94,0.06,11.78,0.04,0.63,350.46
0.68,371.47,16.60,0.08,11.73,0.02,0.62,343.77
0.66,390.14,17.37,0.06,12.43,0.02,0.61,340.30
0.59,403.97,18.06,0.06,12.75,0.03,0.65,351.50
0.59,400.07,17.82,0.05,12.84,0.04,0.72,351.94
0.65,368.91,16.82,0.05,11.91,0.02,0.79,344.37
0.63,379.44,17.09,0.08,12.13,0.03,0.79,332.25
0.69,369.44,16.81,0.07,11.56,0.04,0.72,333.02
0.68,385.62,17.55,0.05,12.03,0.04,0.69,336.65
0.55,412.02,18.76,0.08,12.91,0.04,0.70,345.66
0.64,394.25,17.94,0.07,12.47,0.03,0.74,357.41
0.62,398.11,17.96,0.08,12.39,0.02,0.77,363.92
0.57,414.8,18.83,0.07,12.97,0.02,0.75,349.25
0.55,416.47,18.54,0.09,12.90,0.03,0.81,359.76
0.49,426.38,19.02,0.08,13.25,0.03,0.82,351.32
0.56,413.48,18.79,0.07,13.13,0.04,0.81,343.62
0.36,425.36,19.27,0.09,13.30,0.02,0.80,339.71
0.56,419.62,18.89,0.09,13.12,0.03,0.80,332.61
0.59,423.76,19.27,0.07,13.23,0.05,0.77,342.89
0.48,429.11,19.31,0.09,13.32,0.04,0.73,354.60
0.59,419.86,18.83,0.06,13.33,0.02,0.71,355.49
0.55,426.31,19.29,0.06,13.36,0.04,0.72,359.38
0.21,428.28,19.10,0.07,13.53,0.03,0.72,359.68
0.45,416.33,18.68,0.08,13.08,0.03,0.75,364.75
0.34,420.81,18.92,0.07,13.27,0.02,0.75,358.50
0.38,428.45,19.05,0.06,13.54,0.04,0.67,363.13
0.4,420.66,18.97,0.07,13.29,0.03,0.73,360.27
0.34,413.8,18.38,0.09,12.89,0.02,0.77,364.41
0.47,419.45,18.68,0.07,13.04,0.02,0.77,373.35
0.4,414.69,18.54,0.07,13.24,0.03,0.76,365.75
0.48,416.54,18.62,0.07,13.01,0.04,0.76,369.32
0.48,418.32,18.97,0.08,13.30,0.04,0.76,377.13
0.3,424.59,19.31,0.09,13.30,0.02,0.74,388.03
0.41,420.15,18.79,0.08,13.18,0.04,0.72,383.69
0.51,418.97,18.88,0.08,13.02,0.04,0.76,382.42
0.52,421.58,19.15,0.08,13.24,0.03,0.77,383.51
0.5,427.26,19.13,0.10,13.42,0.04,0.71,386.27
0.53,415.37,18.60,0.09,13.18,0.03,0.72,387.46
0.48,421.67,18.71,0.06,13.20,0.03,0.72,388.03
0.58,418.86,18.64,0.06,12.98,0.02,0.68,389.99
0.61,418.57,18.71,0.07,13.04,0.04,0.74,390.87
0.59,420.84,18.67,0.08,13.44,0.04,0.73,395.51
0.57,420.78,19.08,0.07,13.18,0.04,0.76,397.12
0.64,415.98,18.65,0.09,13.23,0.04,0.65,401.06
0.52,428.72,19.06,0.08,13.29,0.02,0.73,397.44
0.59,428.81,19.26,0.06,13.46,0.03,0.77,400.46
0.55,432.84,19.53,0.08,13.49,0.03,0.72,403.51
0.62,431.49,19.41,0.07,13.73,0.03,0.77,407.84
0.58,432.15,19.47,0.06,13.47,0.03,0.73,408.85
0.61,430.81,19.61,0.07,13.66,0.03,0.66,402.01
0.27,439.06,19.71,0.09,13.70,0.03,0.70,398.22
0.1,433.97,19.76,0.08,13.51,0.03,0.69,396.87
0.2,441.08,20.03,0.09,13.67,0.04,0.68,394.57
0.51,441.42,19.91,0.07,14.02,0.03,0.67,391.16
0.45,440.27,19.70,0.07,13.93,0.03,0.69,397.68
0.48,448.77,20.26,0.07,13.97,0.04,0.72,400.10
0.41,449.45,19.95,0.09,14.03,0.03,0.71,410.48
0.42,446.26,19.79,0.08,14.13,0.03,0.72,417.66
0.23,449.94,20.17,0.06,14.17,0.04,0.70,414.95
0.3,433.77,19.36,0.08,13.51,0.04,0.68,417.38
0.52,429.83,19.17,0.09,13.51,0.02,0.68,415.24
0.38,438.87,19.81,0.07,14.00,0.05,0.72,417.69
0.36,432.34,19.56,0.10,13.50,0.04,0.74,415.12
0.53,433.46,19.56,0.08,13.55,0.02,0.72,410.51
0.58,434.09,19.62,0.09,13.61,0.03,0.75,404.07
0.56,433.42,19.25,0.09,13.50,0.05,0.75,405.19
0.53,438.04,19.51,0.07,13.82,0.04,0.71,404.79
0.48,441.53,19.92,0.06,13.85,0.02,0.62,406.11
0.52,439.03,19.48,0.07,13.93,0.03,0.67,407.13
0.42,440.48,19.66,0.10,13.80,0.03,0.71,406.04
0.52,438.46,19.95,0.07,13.62,0.03,0.74,409.22
0.47,439.04,19.63,0.07,13.73,0.03,0.69,410.73
0.34,438.7,19.70,0.08,13.96,0.03,0.72,413.45
0.33,440.64,19.85,0.08,13.78,0.03,0.68,411.91
0.26,441.2,20.05,0.09,13.93,0.04,0.73,411.76
0.23,443.1,19.83,0.07,13.72,0.03,0.73,411.80
0.34,444.5,19.88,0.06,13.75,0.05,0.72,412.54
0.34,445.55,19.87,0.07,14.01,0.04,0.64,409.43
0.38,443.79,20.12,0.09,13.82,0.04,0.62,413.61
0.25,443.51,20.02,0.06,13.96,0.03,0.68,416.21
0.27,442.87,20.15,0.07,13.93,0.03,0.79,415.60
0.34,444.34,19.80,0.07,13.83,0.03,0.72,415.07
0.48,442.73,20.12,0.06,13.73,0.03,0.75,418.45
0.45,442.03,19.85,0.06,13.90,0.04,0.71,420.68
0.43,445.77,20.10,0.08,14.08,0.03,0.69,423.03
0.48,440.76,20.01,0.10,13.67,0.03,0.65,425.47
0.57,437.91,19.85,0.10,13.89,0.05,0.65,426.35
0.44,435.73,19.42,0.09,13.57,0.04,0.65,428.63
0.32,442.08,19.82,0.09,13.81,0.04,0.66,426.35
0.39,445.71,20.11,0.08,13.96,0.04,0.62,423.59
0.3,443.43,19.79,0.07,13.91,0.03,0.77,421.61
0.33,443.98,20.10,0.06,13.74,0.04,0.73,422.04
0.51,441.38,19.63,0.08,13.80,0.04,0.70,420.68
0.54,440.02,19.70,0.06,13.64,0.03,0.68,420.48
0.48,440.36,19.93,0.09,13.89,0.04,0.68,420.44
0.47,440.02,19.65,0.09,13.76,0.03,0.66,423.44
0.43,439.26,19.85,0.08,13.77,0.02,0.65,425.02
0.34,441.78,20.08,0.06,13.99,0.04,0.67,423.53
0.38,443.41,20.01,0.07,13.87,0.04,0.71,423.22
0.5,443.97,20.07,0.07,13.86,0.03,0.67,420.92
0.35,448.12,20.29,0.07,13.94,0.03,0.61,419.86
0.35,444.33,19.83,0.09,14.10,0.03,0.63,421.12
0.48,443.49,19.93,0.07,13.72,0.04,0.65,421.37
0.29,441.41,19.71,0.09,13.75,0.03,0.67,423.96
0.3,445.97,19.94,0.07,14.20,0.03,0.75,423.70
0.41,446.73,20.22,0.08,14.05,0.04,0.74,422.29
0.42,442.24,19.98,0.08,14.05,0.04,0.69,421.50
0.44,439.16,19.61,0.09,13.96,0.02,0.72,422.98
0.52,436.38,19.73,0.10,13.52,0.03,0.74,422.17
0.47,439.46,19.49,0.07,13.91,0.03,0.79,422.51
0.5,438.42,19.93,0.06,13.87,0.03,0.74,422.96
0.35,442.08,19.88,0.07,13.69,0.03,0.77,425.17
0.32,444.55,19.96,0.10,14.11,0.04,0.76,425.10
0.24,441.41,19.74,0.06,13.96,0.03,0.77,422.87
0.24,441.84,20.05,0.08,13.99,0.04,0.71,422.02
0.24,445.3,19.94,0.08,14.03,0.03,0.72,421.68
0.33,438.62,19.50,0.07,13.83,0.03,0.75,423.12
0.54,437.69,19.92,0.07,13.88,0.03,0.74,422.62
0.51,440.55,19.74,0.09,13.69,0.04,0.77,425.58
