Clearness,GHI,Solar Angle,sin(b),Y,X
0.41,357.4716074,52.82,0.796740914,6.997879787,1.255113152
0.57,495.5102995,52.54,0.793778143,6.998658332,1.259797853
0.58,502.699976,52.26,0.790796414,6.999435421,1.26454797
0.61,527.1026085,51.98,0.787795799,7.000207915,1.269364474
0.68,585.8032861,51.71,0.78488453,7.000865192,1.27407276
0.68,583.8703527,51.43,0.781847028,7.001437614,1.279022576
0.65,556.3708882,51.16,0.778900323,7.002090249,1.283861324
0.69,588.7376951,50.89,0.775936322,7.002729248,1.28876555
0.7,595.2696839,50.61,0.772844343,7.003367115,1.293921614
0.66,559.3967239,50.34,0.769845312,7.003940047,1.298962252
0.48,405.437359,50.06,0.766717149,7.00457288,1.304261946
0.55,463.0219037,49.79,0.763683363,7.005213384,1.309443217
0.23,192.946166,49.51,0.760519304,7.005840972,1.314891015
0.55,459.7905405,49.24,0.757451045,7.006404411,1.320217335
0.59,491.4520847,48.96,0.754251381,7.007026759,1.325817924
0.57,473.132393,48.69,0.75114893,7.007645506,1.331293915
0.55,454.8455911,48.41,0.747913956,7.008262341,1.337052199
0.58,477.9083764,48.14,0.7447776,7.008815837,1.342682702
0.6,492.518354,47.86,0.741507614,7.0094272,1.348603819
0.57,466.1014119,47.58,0.73821992,7.010035655,1.354609884
0.3,244.3660684,47.3,0.734914595,7.010641169,1.360702327
0.51,413.8359178,47.03,0.731710695,7.011184183,1.366660358
0.59,476.8521244,46.75,0.72837097,7.01178396,1.372926766
0.46,370.2858842,46.47,0.72501385,7.012368678,1.379283996
0.35,280.5944668,46.19,0.721639415,7.012962262,1.385733621
0.34,271.4374516,45.91,0.718247747,7.013482112,1.392277254
0.41,326.0192109,45.64,0.714960963,7.014081764,1.398677763
0.69,546.3570492,45.36,0.711535677,7.014666099,1.405410905
0.7,551.9143981,45.08,0.708093399,7.015247177,1.412243076
0.67,525.9471904,44.8,0.70463421,7.015754838,1.419176057
0.58,453.3119253,44.52,0.701158193,7.016329391,1.426211674
0.48,373.4945151,44.24,0.697665431,7.016888111,1.433351798
0.5,387.3195381,43.96,0.694156007,7.017455762,1.440598352
0.59,454.9404444,43.68,0.690630006,7.017950307,1.447953306
0.59,452.8607494,43.4,0.687087511,7.018511038,1.455418683
0.45,344.4911663,43.25,0.68518299,7.018645481,1.459464135
0.46,351.2576562,43.11,0.683401201,7.018721989,1.463269305
0.5,380.7055496,42.95,0.681359874,7.018838084,1.467653201
0.55,417.65014,42.8,0.679441304,7.018965527,1.471797481
0.65,492.2169106,42.65,0.677518078,7.019021454,1.475975377
0.66,498.4284768,42.5,0.675590208,7.019144135,1.480187233
0.6,451.8749963,42.35,0.673657707,7.019264359,1.484433399
0.52,390.5987936,42.21,0.671849874,7.019327763,1.488427756
0.47,351.9884192,42.05,0.669778868,7.019428529,1.493030085
0.54,403.2825222,41.9,0.667832555,7.019541306,1.49738133
0.55,409.5678439,41.75,0.665881666,7.019582868,1.501768334
0.53,393.5578387,41.6,0.663926213,7.019690576,1.506191473
0.52,385.1147299,41.46,0.662097017,7.019810939,1.510352674
0.52,383.9853352,41.31,0.660132778,7.019845115,1.51484676
0.51,375.4345675,41.15,0.658032604,7.019929554,1.51968154
0.5,367.0048349,41,0.656059029,7.020026713,1.524253087
0.47,343.9534147,40.85,0.654080958,7.020052956,1.528862732
0.55,401.4033659,40.71,0.652230713,7.020160747,1.533199801
0.45,327.4497325,40.56,0.650243987,7.020249872,1.53788427
0.51,369.9800729,40.41,0.648252805,7.020268228,1.542608058
0.4,289.2468985,40.25,0.64612398,7.02033525,1.547690585
0.33,237.9090657,40.1,0.64412363,7.020415748,1.552496996
0.57,409.6589003,39.95,0.642118865,7.020425625,1.557344059
0.65,465.8334594,39.81,0.640243781,7.020517371,1.561905059
0.62,442.9680932,39.66,0.63823052,7.020589289,1.566831997
0.61,434.4463063,39.51,0.636212884,7.020590731,1.571800924
0.61,432.994364,39.35,0.634055934,7.020639137,1.577147923
0.57,403.33335,39.2,0.632029303,7.02070183,1.582205122
0.57,402.0342081,39.05,0.629998339,7.020694194,1.587305772
0.45,316.4620775,38.91,0.628098877,7.02076879,1.592106015
0.66,498.85371,42.18,0.671461959,7.026126246,1.489287646
0.66,498.7502152,42.17,0.671332613,7.026111411,1.489574588
0.62,468.5229295,42.17,0.671332613,7.026111411,1.489574588
0.66,498.6467039,42.16,0.671203246,7.026096568,1.489861685
0.68,513.7572101,42.16,0.671203246,7.026096568,1.489861685
0.68,513.650545,42.15,0.67107386,7.026081715,1.490148939
0.66,498.543176,42.15,0.67107386,7.026081715,1.490148939
0.65,490.8875159,42.14,0.670944452,7.026066855,1.490436349
0.6,453.1645729,42.14,0.670944452,7.026149908,1.490436349
0.54,407.7633768,42.13,0.670815025,7.026135038,1.490723915
0.67,520.1472148,43.59,0.689493141,7.026387973,1.45034075
0.66,512.3838235,43.59,0.689493141,7.026387973,1.45034075
0.65,504.6204323,43.59,0.689493141,7.026387973,1.45034075
0.57,442.5133022,43.59,0.689493141,7.026387973,1.45034075
0.66,512.3838235,43.59,0.689493141,7.026387973,1.45034075
0.64,496.759149,43.58,0.689366718,7.026374304,1.450606729
0.59,457.9498405,43.58,0.689366718,7.026374304,1.450606729
0.58,450.0992493,43.57,0.689240274,7.026360628,1.45087285
0.56,434.5785855,43.57,0.689240274,7.026360628,1.45087285
0.57,442.3389174,43.57,0.689240274,7.026360628,1.45087285
0.61,473.2869103,43.56,0.689113808,7.026346945,1.451139112
0.52,403.457694,43.56,0.689113808,7.026346945,1.451139112
0.55,426.7696044,43.56,0.689113808,7.026430143,1.451139112
0.51,395.6537615,43.55,0.688987322,7.026416451,1.451405516
0.48,372.3800108,43.55,0.688987322,7.026416451,1.451405516
0.48,372.3800108,43.55,0.688987322,7.026416451,1.451405516
0.45,349.0373779,43.54,0.688860815,7.026402752,1.451672063
0.45,349.0373779,43.54,0.688860815,7.026402752,1.451672063
0.49,379.9879049,43.53,0.688734286,7.026389044,1.451938752
0.49,379.9879049,43.53,0.688734286,7.026389044,1.451938752
0.49,355.9000397,40.4,0.648119901,7.021679359,1.542924385
0.29,211.7098295,40.65,0.651436559,7.021666229,1.535068898
0.13,95.38394341,40.9,0.654740814,7.021646911,1.527321925
0.59,435.0608564,41.15,0.658032604,7.021619463,1.51968154
0.61,452.0737812,41.4,0.661311865,7.021671463,1.512145861
0.61,454.2900086,41.65,0.664578537,7.02163432,1.504713055
0.59,441.5277585,41.9,0.667832555,7.021591436,1.49738133
0.12,90.23355083,42.15,0.67107386,7.021540929,1.490148939
0.52,392.8719771,42.4,0.674302388,7.021486891,1.483014176
0.55,417.494501,42.65,0.677518078,7.021427417,1.475975377
0.62,472.7682435,42.89,0.680593006,7.021431891,1.469306901
0.63,482.6117363,43.14,0.683783357,7.021362073,1.462451507
0.62,477.1215043,43.39,0.686960689,7.021285195,1.455687372
0.61,471.4577631,43.63,0.689998625,7.021191515,1.449278251
0.65,504.6248688,43.88,0.693150266,7.021106704,1.442688618
0.66,514.5627107,44.12,0.696163428,7.021003715,1.436444318
0.59,461.9589417,44.36,0.699164374,7.020978167,1.430278826
0.5,393.1201719,44.6,0.702153053,7.020866401,1.424190916
0.32,252.681639,44.85,0.705253159,7.020763086,1.417930551
0.6,475.711569,45.09,0.708216629,7.020642606,1.411997345
0.56,445.7911746,45.33,0.711167673,7.020516169,1.406138155
0.64,511.6087183,45.58,0.714228408,7.020399683,1.40011233
0.43,345.0654467,45.81,0.717032275,7.020338595,1.394637361
0.62,499.4895285,46.05,0.71994573,7.02020188,1.388993584
0.7,566.2335245,46.3,0.722967146,7.020073024,1.383188718
0.67,543.9550995,46.53,0.725734693,7.01991504,1.377914008
0.66,537.8796271,46.77,0.728610099,7.019766771,1.372476172
0.64,523.5498811,47.01,0.731472722,7.019614762,1.367104979
0.65,533.6716654,47.24,0.734204025,7.019532033,1.362019229
0.66,543.7956501,47.47,0.736923498,7.019360172,1.356992962
0.65,537.5220268,47.71,0.739748547,7.019197608,1.351810699
0.62,514.5768651,47.95,0.742560616,7.019031517,1.346691406
0.62,517.0971632,48.29,0.746522066,7.018596697,1.339545132
0.66,553.2070626,48.64,0.75057257,7.018166748,1.332316208
0.62,522.1081411,48.98,0.754480526,7.017636345,1.325415256
0.39,329.9596202,49.32,0.758361915,7.01717337,1.318631619
0.6,510.058164,49.67,0.762329567,7.016726705,1.311768615
0.7,597.7790359,50.01,0.766156619,7.016264791,1.30521616
0.68,583.3073951,50.35,0.769956692,7.015797802,1.298774347
0.61,525.6125636,50.7,0.77384021,7.015250566,1.292256447
0.6,519.1719937,51.03,0.777475366,7.014764165,1.286214385
0.43,373.6726628,51.37,0.781193703,7.014282392,1.280092244
0.59,514.879676,51.71,0.78488453,7.013784644,1.27407276
0.67,587.0844169,52.05,0.788547719,7.013208542,1.26815407
0.66,580.6170308,52.38,0.792076614,7.012703985,1.262504134
0.69,609.4690374,52.72,0.795684962,7.012203777,1.25677881
0.57,505.4847272,53.06,0.799265291,7.011699102,1.251149038
0.48,427.2865934,53.39,0.802713402,7.01118168,1.245774641
0.59,527.1970042,53.73,0.806238149,7.010583152,1.240328309
0.53,475.3222078,54.06,0.809632078,7.010046538,1.235128927
0.62,558.0540874,54.39,0.812999149,7.009516906,1.230013588
0.62,560.047889,54.72,0.816339251,7.008983359,1.224980912
